eps,min_samples,cluster_count,noise_count,silhouette_score,adjusted_rand_index_vs_true_label
0.3,3,10,84,0.3973539009809259,0.17375751538172873
0.3,5,3,120,0.6301763083833151,0.08759538435941186
0.3,8,2,131,0.6387199435965648,0.05151748399966331
0.5,3,7,17,0.25912170550884245,0.4525746356418138
0.5,5,2,34,0.6558885287002018,0.4420986685885924
0.5,8,3,59,0.6028694923383574,0.4435911609203647
0.6,3,4,9,0.34517086445693873,0.5238576155196973
0.6,5,2,26,0.6418946941661956,0.4706267335681117
0.6,8,2,32,0.6483601737862178,0.446996193501622
0.7,3,2,5,0.600152434408338,0.5503169680510004
0.7,5,2,6,0.6017954437722106,0.5400773829118303
0.7,8,2,17,0.626691929334881,0.5008046007333737
0.8,3,2,4,0.5979413783542474,0.5517553852833211
0.8,5,2,4,0.5979413783542474,0.5517553852833211
0.8,8,2,8,0.6082503126049682,0.5343817363753418
1.0,3,2,1,0.5867628430648677,0.5583714437541352
1.0,5,2,3,0.5951863189064303,0.5535820784912958
1.0,8,2,3,0.5951863189064303,0.5535820784912958
